iter	Passed	Remaining
963	39588	1478
964	39621	1437
965	39658	1395
966	39717	1355
967	39756	1314
968	39788	1272
969	39828	1231
970	39868	1190
971	39920	1149
972	39962	1108
973	39998	1067
974	40041	1026
975	40085	985
976	40131	944
977	40174	903
978	40206	862
979	40243	821
980	40285	780
981	40327	739
982	40371	698
983	40420	657
984	40462	616
985	40511	575
986	40574	534
987	40620	493
988	40664	452
989	40727	411
990	40775	370
991	40809	329
992	40841	287
993	40891	246
994	40919	205
995	40949	164
996	40967	123
997	41016	82
998	41027	41
999	41036	0
