iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_randomforestclassifier__bootstrap,param_randomforestclassifier__class_weight,param_randomforestclassifier__criterion,param_randomforestclassifier__max_features,param_randomforestclassifier__min_samples_leaf,param_randomforestclassifier__min_samples_split,param_randomforestclassifier__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,20,2.458931303024292,0.0267051213685203,0.16808772087097168,0.0036842094558720315,True,,gini,auto,2,15,834,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__class_weight': None, 'randomforestclassifier__criterion': 'gini', 'randomforestclassifier__max_features': 'auto', 'randomforestclassifier__min_samples_leaf': 2, 'randomforestclassifier__min_samples_split': 15, 'randomforestclassifier__n_estimators': 834}",1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.8666666666666666,0.16329931618554522,1527,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,2.3795177936553955,0.015322005771523052,0.1718273639678955,0.008763477664777588,True,,entropy,sqrt,6,19,864,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__class_weight': None, 'randomforestclassifier__criterion': 'entropy', 'randomforestclassifier__max_features': 'sqrt', 'randomforestclassifier__min_samples_leaf': 6, 'randomforestclassifier__min_samples_split': 19, 'randomforestclassifier__n_estimators': 864}",1.0,0.8571428571428571,0.6666666666666666,1.0,1.0,0.9047619047619048,0.13127665478181164,509,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,1.5232365131378174,0.011919936777787148,0.11509699821472168,0.008395262247161021,True,,gini,sqrt,8,2,553,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__class_weight': None, 'randomforestclassifier__criterion': 'gini', 'randomforestclassifier__max_features': 'sqrt', 'randomforestclassifier__min_samples_leaf': 8, 'randomforestclassifier__min_samples_split': 2, 'randomforestclassifier__n_estimators': 553}",1.0,0.8571428571428571,0.6666666666666666,1.0,1.0,0.9047619047619048,0.13127665478181164,509,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,0.8294699192047119,0.02106177170260258,0.06703667640686035,0.004774265174302148,True,balanced,gini,auto,1,7,283,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__class_weight': 'balanced', 'randomforestclassifier__criterion': 'gini', 'randomforestclassifier__max_features': 'auto', 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__min_samples_split': 7, 'randomforestclassifier__n_estimators': 283}",1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.8666666666666666,0.16329931618554522,1527,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,0.6391150474548339,0.0070024928691848985,0.048800086975097655,0.0059099104505561054,True,,entropy,auto,8,5,212,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__class_weight': None, 'randomforestclassifier__criterion': 'entropy', 'randomforestclassifier__max_features': 'auto', 'randomforestclassifier__min_samples_leaf': 8, 'randomforestclassifier__min_samples_split': 5, 'randomforestclassifier__n_estimators': 212}",1.0,0.8571428571428571,0.6666666666666666,1.0,1.0,0.9047619047619048,0.13127665478181164,509,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,2.0389042854309083,0.048814430476749555,0.21576910018920897,0.03829933907977461,False,balanced,gini,auto,6,8,809,"{'randomforestclassifier__bootstrap': False, 'randomforestclassifier__class_weight': 'balanced', 'randomforestclassifier__criterion': 'gini', 'randomforestclassifier__max_features': 'auto', 'randomforestclassifier__min_samples_leaf': 6, 'randomforestclassifier__min_samples_split': 8, 'randomforestclassifier__n_estimators': 809}",1.0,0.8571428571428571,0.6666666666666666,1.0,1.0,0.9047619047619048,0.13127665478181164,509,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,1.3068071842193603,0.018628436554441054,0.09377317428588867,0.01100214771912767,True,balanced,gini,auto,1,2,436,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__class_weight': 'balanced', 'randomforestclassifier__criterion': 'gini', 'randomforestclassifier__max_features': 'auto', 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__min_samples_split': 2, 'randomforestclassifier__n_estimators': 436}",1.0,0.8571428571428571,0.6666666666666666,1.0,1.0,0.9047619047619048,0.13127665478181164,509,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,2.7325489997863768,0.036410566876137515,0.18059353828430175,0.006713448206943989,True,balanced,gini,auto,3,4,877,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__class_weight': 'balanced', 'randomforestclassifier__criterion': 'gini', 'randomforestclassifier__max_features': 'auto', 'randomforestclassifier__min_samples_leaf': 3, 'randomforestclassifier__min_samples_split': 4, 'randomforestclassifier__n_estimators': 877}",1.0,0.8571428571428571,0.6666666666666666,1.0,1.0,0.9047619047619048,0.13127665478181164,509,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,0.9002108097076416,0.009565491222984062,0.08145222663879395,0.0025009808006694312,False,balanced,gini,sqrt,9,7,391,"{'randomforestclassifier__bootstrap': False, 'randomforestclassifier__class_weight': 'balanced', 'randomforestclassifier__criterion': 'gini', 'randomforestclassifier__max_features': 'sqrt', 'randomforestclassifier__min_samples_leaf': 9, 'randomforestclassifier__min_samples_split': 7, 'randomforestclassifier__n_estimators': 391}",1.0,0.6666666666666666,0.8571428571428571,1.0,1.0,0.9047619047619048,0.13127665478181164,509,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,1.299658727645874,0.014334943344583835,0.08770651817321777,0.006681506172337862,True,,entropy,auto,3,15,425,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__class_weight': None, 'randomforestclassifier__criterion': 'entropy', 'randomforestclassifier__max_features': 'auto', 'randomforestclassifier__min_samples_leaf': 3, 'randomforestclassifier__min_samples_split': 15, 'randomforestclassifier__n_estimators': 425}",1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.8666666666666666,0.16329931618554522,1527,1.0,1.0,1.0,1.0,1.0,1.0,0.0
